Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,3,0,1,1,1,5,2,1,0,1,0,1,16
RAPE,2,1,0,1,3,1,4,1,0,3,1,0,17
ROBBERY,5,5,0,5,5,4,10,17,8,8,2,9,78
AGGRAVATED ASSAULT,23,17,18,14,17,20,22,22,28,24,15,16,239
BURGLARY,8,6,13,12,13,10,11,2,8,8,7,5,101
LARCENY,38,19,26,13,23,32,26,21,29,15,14,20,276
MV LARCENY,0,0,1,0,1,1,2,2,0,0,0,0,7
ARSON,0,2,3,0,1,1,2,1,1,0,0,0,9
KIDNAPPING,0,0,0,1,1,1,2,0,0,0,0,0,6
CONTROLLED SUBSTANCES,21,24,23,18,16,12,16,12,1,1,1,11,182
DANGEROUS WEAPONS,4,5,6,3,1,1,1,1,1,1,1,3,76
SEX OFFENSE,1,3,1,4,3,1,1,1,1,2,2,2,38
FORGERY,0,0,0,0,1,1,1,0,0,0,0,0,11
PROSTITUTION,0,0,0,0,1,1,1,0,0,0,0,0,10
STOLEN PROPERTY,3,5,8,1,1,1,1,1,1,1,1,2,45
CRIMINAL MISCHIEF,22,17,14,10,17,16,13,17,12,2,1,16,199
FRAUD,1,6,2,1,1,1,1,1,1,2,2,2,25
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,4
OFFENSES AGAINST PUBLIC ORDER,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPLE ASSAULT,17,12,18,29,30,21,20,22,15,16,18,18,234
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,0,0
DWI,5,11,7,6,6,4,6,8,7,7,8,5,80
UNAUTHORIZED USE,1,0,0,1,1,1,0,0,0,0,0,1,4
POSS OF BURGLARY TOOLS,0,0,0,1,1,1,0,0,0,0,0,0,1
DISORDERLY CONDUCT,0,0,1,1,1,1,1,1,1,1,1,1,30
ALL OTHER,34,55,40,47,47,1,1,1,1,1,1,1,47
GCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Total,191,188,182,171,201,189,216,190,179,175,123,145,2150
