Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,3,2,0,0,1,2,2,0,0,3,0,0,13
RAPE,4,3,5,5,18,13,10,9,6,7,8,3,91
ROBBERY,25,15,12,21,27,20,31,19,16,22,16,13,237
AGGRAVATED ASSAULT,41,39,48,49,59,54,62,49,49,49,41,45,588
BURGLARY,26,23,35,40,47,41,49,40,31,38,26,24,410
LARCENY,175,165,208,180,215,180,212,235,232,289,147,171,2309
MV LARCENY,41,24,18,23,33,28,26,25,27,21,32,40,348
ARSON,2,0,0,0,0,0,0,0,1,1,1,1,14
KIDNAPPING,1,0,1,1,1,1,2,3,0,0,3,0,15
CONTROLLED SUBSTANCES,1,4,3,0,4,6,0,1,2,2,3,2,28
DANGEROUS WEAPONS,4,6,9,11,18,14,15,14,15,14,10,11,132
SEX OFFENSE,2,5,3,4,5,6,0,4,5,4,1,4,43
EXTORTION,1,0,0,0,0,0,1,1,2,1,0,1,9
FORGERY,1,1,3,0,1,0,1,1,2,0,1,0,11
STOLEN PROPERTY,1,1,5,0,3,5,4,5,2,2,2,1,36
COERCION,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIMINAL MISCHIEF,92,109,109,118,131,13,13,14,16,10,10,13,137
FRAUD,13,19,13,13,13,13,13,14,16,10,13,13,132
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFENSES AGAINST PUBLIC ORDER,0,0,0,0,0,0,0,0,0,0,0,0,1
EMBEZZLEMENT,0,0,0,0,0,0,0,0,0,0,0,0,1
SIMPLE ASSAULT,63,65,75,78,91,75,81,62,65,61,64,69,849
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,0,0
DWI,0,0,0,0,0,0,0,0,0,0,0,0,2
UNAUTHORIZED USE,1,1,3,3,3,3,4,1,1,2,0,2,23
POSS OF BURGLARY TOOLS,0,0,0,0,0,0,0,0,0,0,0,0,1
DISORDERLY CONDUCT,0,0,0,1,2,2,2,2,0,0,0,0,9
ALL OTHER,147,171,130,157,170,155,134,164,143,134,106,144,1755
GCO,0,0,0,2,2,0,0,0,0,0,0,0,7
Grand Total,644,653,682,707,848,745,781,764,712,666,662,656,8421
