Year,Part II Crimes,Kidnapping,Controlled Substances,Dangerous Weapons,Sex Offense,Extortion,Forgery,Stolen Property,Coercion,Criminal Mischief,Fraud,Gambling,Offenses Against Public Order,Embezzlement,Simple Assault,Offenses Against Family,DWI,Unauthorized Use,Poss of Burglary Tools,Disorderly Conduct,All Other,GCO
2021,4443,17,34,176,61,4,12,20,1,1550,108,0,1,0,784,1,4,53,0,8,1600,9
2022,4723,22,32,183,52,18,17,17,17,1513,146,6,1,1,913,1,5,49,6,5,1740,3
2023,5044,19,40,160,85,8,18,2,1,1664,137,1,3,9,956,2,4,39,0,9,1868,4
2024,4411,15,28,132,43,9,11,36,0,137,132,0,1,1,849,0,2,23,1,9,1755,7
2021_Jan,299,4,3,9,7,0,2,4,0,115,6,0,0,0,57,0,0,3,0,0,105,0
2021_Feb,276,2,2,6,1,0,0,1,0,103,7,0,0,0,46,0,1,4,0,0,103,0
2021_Mar,345,0,4,10,4,0,1,2,0,113,13,0,0,0,47,0,1,1,0,0,145,0
2021_Apr,366,0,3,14,5,0,0,3,0,138,10,0,0,0,67,0,0,4,0,0,116,0
2021_May,361,1,3,18,6,0,0,0,0,140,13,0,0,0,53,0,0,7,0,0,124,0
2021_Jun,404,1,3,17,14,0,0,2,0,135,13,0,0,0,77,0,0,5,0,0,135,0
2021_Jul,596,1,3,12,4,0,3,3,0,129,13,0,0,0,85,0,0,2,0,0,142,0
2021_Aug,596,1,3,15,4,1,3,1,0,143,13,0,0,0,68,0,0,3,0,0,137,0
2021_Sep,509,1,2,15,4,1,3,1,0,140,13,0,0,0,77,0,0,6,0,0,140,0
2021_Oct,482,1,4,14,6,0,2,0,0,142,13,0,0,0,81,0,0,7,0,0,138,2
2021_Nov,429,1,3,11,6,0,1,1,0,135,13,0,0,0,61,0,0,6,0,0,150,1
2021_Dec,380,1,1,15,1,1,0,2,0,117,13,0,0,0,65,0,1,5,0,0,165,0
2022_Jan,334,3,0,18,3,0,2,2,0,117,13,0,0,0,63,0,0,3,0,0,120,0
2022_Feb,309,2,1,6,3,1,1,1,0,112,13,0,1,1,71,0,0,3,0,0,128,0
2022_Mar,323,2,1,17,2,2,3,3,0,99,15,0,0,0,72,0,0,4,0,0,129,0
2022_Apr,381,2,4,17,6,2,2,2,0,128,1,0,0,0,72,0,0,5,0,0,135,0
2022_May,444,4,3,22,7,2,2,2,0,179,1,0,0,0,73,0,0,3,0,0,156,0
2022_Jun,361,1,4,22,7,2,2,2,0,137,1,0,0,0,71,0,0,4,0,0,142,0
2022_Jul,467,3,1,21,7,2,2,2,0,151,1,0,0,0,75,0,0,5,0,0,165,0
2022_Aug,470,2,4,16,7,2,2,2,0,142,1,0,0,0,96,0,0,2,0,0,156,0
2022_Sep,356,2,1,10,7,2,2,2,0,112,1,0,0,0,96,0,0,4,0,0,141,0
2022_Oct,330,2,4,10,7,2,2,2,0,124,1,0,0,0,67,0,0,1,0,0,165,0
2022_Nov,330,2,1,14,7,2,2,2,0,109,1,0,0,0,64,0,0,12,0,0,124,0
2022_Dec,350,2,4,6,7,2,2,2,0,93,1,0,0,0,61,0,0,3,0,0,174,0
2023_Jan,404,0,4,12,3,0,5,1,0,129,15,0,0,0,77,0,1,6,0,0,148,0
2023_Feb,335,1,2,7,3,0,3,1,0,118,10,0,0,0,64,0,0,4,0,0,121,0
2023_Mar,339,2,3,11,1,1,1,1,0,141,10,0,0,0,59,0,0,3,0,2,118,0
2023_Apr,465,3,3,22,1,1,1,1,0,159,19,0,1,0,96,0,0,2,0,0,138,0
2023_May,404,1,1,21,1,1,1,1,0,116,17,0,1,0,75,0,0,1,0,0,158,1
2023_Jun,403,2,1,16,1,1,1,1,0,139,11,0,1,0,76,0,0,1,0,0,159,1
2023_Jul,461,1,1,12,1,1,1,1,0,158,10,0,0,0,75,0,0,1,0,0,178,1
2023_Aug,466,1,1,12,1,1,1,1,0,159,15,0,0,0,76,0,0,1,0,1,185,1
2023_Sep,438,1,1,12,1,1,1,1,0,153,15,0,0,0,95,0,0,1,0,1,180,0
2023_Oct,402,4,2,12,1,1,1,1,0,143,1,0,0,0,90,0,0,2,0,1,182,0
2023_Nov,365,2,4,9,5,1,1,1,0,122,1,0,0,0,84,0,0,2,0,1,182,0
2023_Dec,356,1,3,17,5,1,1,1,0,122,12,0,0,0,73,0,1,2,0,2,164,0
2024_Jan,327,1,1,4,2,1,1,1,0,92,13,0,0,0,63,0,0,1,0,0,147,0
2024_Feb,382,0,4,6,5,0,1,1,0,109,19,0,0,0,65,0,0,1,0,0,171,0
2024_Mar,356,1,3,9,3,0,3,5,0,109,13,0,0,0,75,0,0,3,0,0,130,0
2024_Apr,389,1,0,11,4,0,0,0,0,118,13,0,0,0,78,0,0,3,0,1,157,2
2024_May,458,1,4,18,5,0,1,3,0,131,13,0,0,0,91,0,0,3,0,2,170,2
2024_Jun,447,1,6,14,6,0,0,5,0,13,13,0,0,0,75,0,0,3,0,2,155,0
2024_Jul,389,2,0,15,0,1,1,4,0,13,13,0,0,0,81,0,0,4,0,2,134,0
2024_Aug,387,3,1,14,4,1,1,5,0,14,14,0,0,0,62,0,0,1,0,2,164,0
2024_Sep,335,0,2,15,5,2,2,2,0,16,16,0,0,0,65,0,0,1,0,0,143,0
2024_Oct,304,0,2,14,4,1,0,2,0,10,10,0,0,0,61,0,0,2,0,0,134,0
2024_Nov,281,3,3,10,1,0,1,2,0,10,13,0,0,0,64,0,0,0,0,0,106,0
2024_Dec,351,0,2,11,4,1,0,1,0,13,13,0,0,0,69,0,0,2,0,0,144,0
