Year,Part I Property Crimes,Burglary,Larceny,MV Larceny,Arson
2021,2924,371,2229,317,7
2022,3854,671,2677,692,14
2023,3595,468,2542,465,20
2024,3081,410,2309,348,14
2021_Jan,201,31,149,21,0
2021_Feb,162,23,123,16,0
2021_Mar,175,17,136,22,0
2021_Apr,203,29,151,23,0
2021_May,214,25,168,21,0
2021_Jun,229,26,174,29,0
2021_Jul,90,32,28,29,1
2021_Aug,98,41,27,30,0
2021_Sep,287,33,232,22,0
2021_Oct,318,41,238,39,0
2021_Nov,280,28,224,28,0
2021_Dec,271,45,189,37,0
2022_Jan,304,35,238,30,1
2022_Feb,251,36,171,40,4
2022_Mar,270,39,193,38,2
2022_Apr,281,36,199,46,0
2022_May,370,66,247,56,1
2022_Jun,299,50,187,62,0
2022_Jul,381,58,257,65,1
2022_Aug,408,71,272,65,0
2022_Sep,310,42,218,48,2
2022_Oct,358,54,256,48,0
2022_Nov,313,45,205,62,1
2022_Dec,341,47,231,61,2
2023_Jan,303,45,214,42,2
2023_Feb,321,34,237,50,0
2023_Mar,289,39,210,40,2
2023_Apr,268,39,196,31,2
2023_May,351,43,263,43,2
2023_Jun,306,35,220,49,2
2023_Jul,319,33,236,48,2
2023_Aug,326,69,223,33,1
2023_Sep,322,61,213,43,5
2023_Oct,303,35,240,25,3
2023_Nov,270,21,204,43,2
2023_Dec,241,24,188,28,1
2024_Jan,244,26,175,41,2
2024_Feb,212,23,165,24,0
2024_Mar,261,35,208,18,0
2024_Apr,243,40,180,23,0
2024_May,295,47,215,33,0
2024_Jun,249,41,180,28,0
2024_Jul,287,49,212,26,0
2024_Aug,300,40,235,25,0
2024_Sep,306,31,232,27,1
2024_Oct,349,38,289,21,1
2024_Nov,216,26,147,32,1
2024_Dec,249,24,171,40,1
