Crime Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MURDER,1,0,1,1,0,0,0,2,2,5,3,2,18
RAPE,0,1,0,0,0,0,0,0,0,0,0,0,3
ROBBERY,9,3,2,4,8,4,7,0,5,5,2,8,57
AGGRAVATED ASSAULT,25,14,22,27,14,11,29,31,22,14,11,13,233
BURGLARY,7,6,6,6,13,12,4,20,9,11,7,15,116
LARCENY,18,9,19,10,10,11,14,14,17,23,18,13,189
MV LARCENY,5,0,2,2,10,6,1,2,3,1,3,0,35
ARSON,0,0,0,0,0,0,0,0,0,0,0,0,2
KIDNAPPING,2,1,0,0,0,0,0,0,3,1,3,0,11
CONTROLLED SUBSTANCES,11,14,12,27,10,32,13,6,25,12,7,8,177
DANGEROUS WEAPONS,11,5,6,9,6,10,7,6,5,9,3,3,80
SEX OFFENSE,0,0,0,0,1,3,3,4,0,0,1,0,13
FORGERY,0,0,0,0,0,0,0,0,0,0,0,0,3
PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,3
STOLEN PROPERTY,6,2,4,6,5,8,7,7,3,7,4,3,57
CRIMINAL MISCHIEF,10,16,15,9,11,17,13,17,11,8,8,10,145
FRAUD,0,0,0,0,0,0,0,0,0,0,0,0,13
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,2
OFFENSES AGAINST PUBLIC ORDER,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPLE ASSAULT,16,22,20,17,13,11,19,31,10,23,14,17,213
OFFENSES AGAINST FAMILY,0,0,0,0,0,0,0,0,0,0,0,0,1
DWI,4,5,3,2,3,4,5,2,15,13,8,5,67
UNAUTHORIZED USE,0,0,0,0,0,0,0,0,0,0,0,0,4
POSS OF BURGLARY TOOLS,0,0,0,0,0,0,0,0,0,0,0,0,0
DISORDERLY CONDUCT,0,0,0,0,0,0,0,0,0,0,0,0,10
ALL OTHER,26,25,27,42,11,23,39,48,57,49,30,25,422
GCO,0,0,0,0,0,0,0,0,0,0,0,0,6
Grand Total,151,126,140,165,153,162,160,191,190,190,118,123,1869
